id;title;writer;performer;length;url;track_number
1;The Power of Love;"Huey Lewis & Chris Hayes & Johnny Colla";Huey Lewis and the News;3:58;https://www.youtube.com/watch?v=wBl2QGAIx1s;1
2;Time Bomb Town;Lindsey Buckingham;Lindsey Buckingham;2:44;https://www.youtube.com/watch?v=zNQ2fUHNd2I;2
3;Back to the Future;Alan Silvestri;The Outatime Orchestra;3:20;https://www.youtube.com/watch?v=LpbHlXPmmcE;3
4;Heaven Is One Step Away;Eric Clapton;Eric Clapton;4:13;https://www.youtube.com/watch?v=sE7QQCsE2TQ;4
5;Back in Time;"Huey Lewis & Chris Hayes & Johnny Colla";Huey Lewis and the News;4:22;https://www.youtube.com/watch?v=ur57IunS9To;5
6;Back to the Future Overture;Alan Silvestri;The Outatime Orchestra;8:18;https://www.youtube.com/watch?v=lRArzYO4ftw;6
7;"The Wallflower (Dance with Me; Henry)";"Johnny Otis & Hank Ballard & Etta James";Etta James;2:41;https://www.youtube.com/watch?v=C9_J7dObJlw;7
8;Night Train;"Oscar Washington & Lewis P. Simpkins & Jimmy Forrest";Marvin Berry & The Starlighters;2:17;https://www.youtube.com/watch?v=Z3ESWset6Oo;8
9;Earth Angel (Will You Be Mine);"Curtis Williams & Jesse Belvin & Gaynel Hodge";Marvin Berry & The Starlighters;3:02;https://www.youtube.com/watch?v=uBY-9xLGaw8;9
10;Johnny B. Goode;Chuck Berry;Marty McFly with The Starlighters;3:06;https://www.youtube.com/watch?v=RelL4BS2lEQ;10
